"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.377056350E-1,3.333761096E-1,-3.443486691E-1,1.080656052E-1,4.913184419E-1
4.426798660E-1,2.931478024E-1,-2.632102966E-1,1.069803238E-1,4.082402282E-1
4.476847980E-1,4.039319456E-1,-2.569401264E-1,9.725475311E-2,4.885056112E-1
4.526896440E-1,3.999758363E-1,-2.510609627E-1,9.575843811E-2,4.818526279E-1
4.576945670E-1,2.829168439E-1,-2.075624466E-1,9.433555603E-2,3.633501162E-1
4.626994850E-1,2.800817788E-1,-2.021625042E-1,1.180009842E-1,3.650201545E-1
4.677044080E-1,2.387114018E-1,-4.377412796E-2,1.168947220E-1,2.693764720E-1
4.726786350E-1,2.372969240E-1,-4.334306717E-2,1.168117523E-1,2.680176059E-1
4.776835580E-1,1.186404079E-1,-1.101765633E-1,1.141977310E-1,1.981301170E-1
4.826884040E-1,4.249653220E-2,4.861831665E-3,1.081666946E-1,1.163169226E-1
4.876933220E-1,4.036879539E-2,1.032924652E-2,1.067628860E-1,1.146064868E-1
4.926982450E-1,-1.148395091E-1,1.575970650E-2,1.053495407E-1,1.566365441E-1
4.977031690E-1,-1.167377532E-1,2.204203606E-2,9.968280792E-2,1.550813224E-1
5.026773990E-1,-3.101920784E-1,1.101431847E-1,9.658718109E-2,3.430447932E-1
5.076823220E-1,-3.083555996E-1,1.096627712E-1,9.666824341E-2,3.412533494E-1
5.126871400E-1,-3.468647003E-1,1.542146206E-1,9.522342682E-2,3.913627097E-1
5.176920630E-1,-2.753340006E-1,3.190379143E-1,7.529067993E-2,4.280919167E-1
5.226969860E-1,-2.738357782E-1,3.175151348E-1,7.565116882E-2,4.260575004E-1
5.277019180E-1,-2.754229009E-1,4.372487068E-1,7.446861267E-2,5.221013122E-1
5.327066100E-1,-2.769010067E-1,4.417929649E-1,5.427074432E-2,5.242141786E-1
5.376810720E-1,-1.273068488E-1,4.840974808E-1,5.319786072E-2,5.033760195E-1
5.426859620E-1,-1.296228766E-1,4.883906841E-1,5.214309692E-2,5.079827291E-1
5.476908850E-1,-5.538396537E-2,5.315871239E-1,5.112648010E-2,5.369042474E-1
5.526957360E-1,1.599723101E-2,5.417232513E-1,1.970863342E-2,5.423176400E-1
