"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.674833404E1,6.504539888E1,2.543839359E1,1.051784948E1,2.800000000E1,1.059999943E0,2.585000000E2,5.538173609E-2,2.000000000E0,3.000000000E0,2.900000000E1
4.774187293E1,6.504540303E1,2.543836894E1,1.051784537E1,2.800000000E1,1.179999948E0,2.777000122E2,5.700393491E-2,2.000000000E0,3.000000000E0,2.800000000E1
4.874273873E1,6.504541016E1,2.543833877E1,1.051783949E1,2.800000000E1,1.699999928E0,2.960000000E2,5.811343400E-2,2.000000000E0,3.000000000E0,2.800000000E1
4.974204781E1,6.504541523E1,2.543831840E1,1.051783542E1,2.800000000E1,1.139999986E0,3.005000000E2,5.872025592E-2,2.000000000E0,3.000000000E0,2.900000000E1
5.074306996E1,6.504541594E1,2.543830558E1,1.051783386E1,2.800000000E1,1.019999981E0,2.848999939E2,5.930949069E-2,2.000000000E0,3.000000000E0,2.900000000E1
5.174724162E1,6.504541263E1,2.543829577E1,9.517834242E0,2.700000000E1,7.299999595E-1,2.872999878E2,6.012692791E-2,2.000000000E0,3.000000000E0,2.700000000E1
5.274026754E1,6.504540789E1,2.543828244E1,8.517834853E0,2.600000000E1,9.499999881E-1,2.647999878E2,6.104221457E-2,2.000000000E0,3.000000000E0,2.800000000E1
5.373935215E1,6.504540119E1,2.543827113E1,8.517836462E0,2.600000000E1,7.500000000E-1,2.668999939E2,6.222339381E-2,2.000000000E0,3.000000000E0,2.800000000E1
5.474662846E1,6.504539423E1,2.543825210E1,8.517837413E0,2.600000000E1,1.079999924E0,2.577999878E2,6.359761007E-2,2.000000000E0,3.000000000E0,2.800000000E1
5.574106911E1,6.504539205E1,2.543822327E1,7.517835454E0,2.500000000E1,9.799999595E-1,2.675000000E2,6.446629731E-2,2.000000000E0,3.000000000E0,2.800000000E1
5.674039515E1,6.504538845E1,2.543820684E1,8.517835299E0,2.600000000E1,7.099999785E-1,2.810000000E2,6.553485407E-2,2.000000000E0,2.000000000E0,2.800000000E1
5.774384673E1,6.504538543E1,2.543818521E1,8.517834392E0,2.600000000E1,1.029999971E0,2.766000061E2,6.654418934E-2,2.000000000E0,3.000000000E0,2.700000000E1
5.874445342E1,6.504538212E1,2.543816518E1,8.517833762E0,2.600000000E1,1.309999943E0,2.555000000E2,6.721092587E-2,2.000000000E0,3.000000000E0,2.900000000E1
5.975054130E1,6.504537969E1,2.543815219E1,8.517833469E0,2.600000000E1,9.899999499E-1,2.566000061E2,6.862862259E-2,2.000000000E0,3.000000000E0,2.800000000E1
6.074585023E1,6.504537663E1,2.543812285E1,7.517831819E0,2.500000000E1,1.469999909E0,2.607000122E2,7.018150525E-2,2.000000000E0,3.000000000E0,2.600000000E1
6.175800984E1,6.504537215E1,2.543809150E1,7.517830550E0,2.500000000E1,1.319999933E0,2.538999939E2,7.115446878E-2,2.000000000E0,3.000000000E0,2.900000000E1
6.274744234E1,6.504536858E1,2.543807256E1,7.517830130E0,2.500000000E1,1.289999962E0,2.546000061E2,7.230291053E-2,2.000000000E0,3.000000000E0,2.700000000E1
6.374748107E1,6.504536330E1,2.543805152E1,7.517830202E0,2.500000000E1,1.329999924E0,2.505000000E2,7.329725231E-2,2.000000000E0,3.000000000E0,2.900000000E1
6.475025045E1,6.504535848E1,2.543803367E1,7.517830402E0,2.500000000E1,1.129999995E0,2.411999969E2,7.430847062E-2,2.000000000E0,3.000000000E0,2.800000000E1
6.574762030E1,6.504535471E1,2.543801405E1,7.517830001E0,2.500000000E1,1.240000010E0,2.476999969E2,7.551767285E-2,2.000000000E0,3.000000000E0,2.900000000E1
6.675316288E1,6.504535232E1,2.543798891E1,6.517828493E0,2.400000000E1,1.259999990E0,2.570000000E2,7.679664230E-2,2.000000000E0,3.000000000E0,2.600000000E1
6.775033349E1,6.504534960E1,2.543796242E1,5.517826989E0,2.300000000E1,1.509999990E0,2.617000122E2,7.787733129E-2,2.000000000E0,3.000000000E0,2.600000000E1
6.875188687E1,6.504535035E1,2.543793946E1,6.517824416E0,2.400000000E1,1.189999938E0,2.781000061E2,7.891441837E-2,2.000000000E0,3.000000000E0,2.600000000E1
6.975224234E1,6.504534901E1,2.543791758E1,6.517822804E0,2.400000000E1,1.059999943E0,2.802999878E2,8.024784049E-2,2.000000000E0,3.000000000E0,2.800000000E1
