"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.696222550E-1,1.349341571E-1,1.187421083E-1,8.063411713E-2,1.969994312E-1
4.746124090E-1,8.586904407E-2,1.578588486E-1,8.058166504E-2,1.969424117E-1
4.795866400E-1,7.503379881E-2,1.588317156E-1,8.054924011E-2,1.932505237E-1
4.845915680E-1,2.658706903E-2,8.417642117E-2,8.045482635E-2,1.194383573E-1
4.896111830E-1,-1.358207464E-1,1.610113382E-1,5.450630188E-2,2.175841519E-1
4.946013940E-1,-1.438774019E-1,1.611711979E-1,5.459690094E-2,2.228400400E-1
4.996063170E-1,-2.648785710E-1,4.702830315E-2,5.455684662E-2,2.744973009E-1
5.046111590E-1,-2.718545198E-1,4.791879654E-2,5.452442169E-2,2.813787547E-1
5.096000820E-1,-2.412822247E-1,2.395105362E-1,4.871273041E-2,3.434462680E-1
5.145903130E-1,-2.545653880E-1,2.390179634E-1,4.902839661E-2,3.526143889E-1
5.195952350E-1,-1.395070553E-1,1.231213808E-1,4.914474487E-2,1.924481718E-1
5.246000810E-1,-1.534366012E-1,8.563625813E-2,4.933547974E-2,1.825112294E-1
5.296197550E-1,-1.584866345E-1,8.509337902E-2,7.052421570E-2,1.932163592E-1
5.346099090E-1,-5.435392261E-3,4.585099220E-2,7.056236267E-2,8.432617625E-2
5.395843700E-1,-1.754723489E-2,4.556083679E-2,7.086277008E-2,8.605363145E-2
5.445893080E-1,5.300924182E-2,4.529333115E-2,7.104873657E-2,9.954591168E-2
5.496086930E-1,5.264481902E-2,4.505634308E-2,7.109546661E-2,9.927797537E-2
5.545989050E-1,8.516937494E-3,6.684541702E-3,7.127857208E-2,7.209615912E-2
5.596038280E-1,-3.434982896E-2,-1.079007387E-1,7.131290436E-2,1.338208149E-1
5.646086790E-1,-3.909392655E-2,-1.074442863E-1,7.135200500E-2,1.347728399E-1
5.695976790E-1,-5.998387933E-3,-6.832075119E-2,7.445240021E-2,1.012268028E-1
5.745880640E-1,-1.017342508E-2,-6.846106052E-2,7.457733154E-2,1.017457309E-1
5.795927610E-1,-1.431775093E-2,-6.860232353E-2,7.470321655E-2,1.024297191E-1
5.845976840E-1,-1.844239235E-2,-6.874644756E-2,7.483100891E-2,1.032757270E-1
5.896173130E-1,1.614287496E-2,-6.883764267E-2,4.000949860E-2,8.124022057E-2
5.946074670E-1,1.238438487E-2,-6.902027130E-2,4.013729095E-2,8.079710988E-2
5.996124670E-1,-1.476201862E-1,-7.003509998E-2,4.046058655E-2,1.683261527E-1
6.045866160E-1,-1.499024183E-1,-7.020795345E-2,4.055023193E-2,1.704236282E-1
6.096062310E-1,-1.515589803E-1,-7.036697865E-2,3.572463989E-3,1.671358690E-1
6.145963950E-1,-2.256847322E-1,-1.838928461E-1,3.273010254E-3,2.911372353E-1
6.196013950E-1,-2.268283665E-1,-1.831712723E-1,3.188133240E-3,2.915698665E-1
6.246062550E-1,-3.027395308E-1,-3.068184853E-2,3.271102905E-3,3.043079024E-1
6.296257170E-1,-3.036381602E-1,-3.119778633E-2,8.632850647E-2,3.172097811E-1
6.345856400E-1,-3.040662408E-1,4.397928715E-2,8.648109436E-2,3.191699174E-1
6.395903370E-1,-3.825194240E-1,4.246056080E-2,8.679294586E-2,3.945339331E-1
6.445952610E-1,-3.798995018E-1,4.225420952E-2,8.675384521E-2,3.919633648E-1
6.496148760E-1,-4.938843846E-1,1.942974329E-1,4.310035706E-2,5.324762141E-1
6.546051070E-1,-4.922700226E-1,1.925579309E-1,4.333782196E-2,5.303644961E-1
6.596099530E-1,-4.170110226E-1,1.516662836E-1,4.366588593E-2,4.458784185E-1
6.645841500E-1,-4.158502817E-1,1.501964331E-1,4.387378693E-2,4.443144545E-1
6.696037650E-1,-3.742972612E-1,1.880073547E-1,6.604766846E-2,4.240371443E-1
6.745939960E-1,-3.743744493E-1,2.619274855E-1,6.637191772E-2,4.617006253E-1
6.795989190E-1,-3.719395399E-1,2.603378296E-1,6.656646729E-2,4.588528102E-1
6.846038620E-1,-4.093286395E-1,1.443220377E-1,6.460571289E-2,4.388082541E-1
6.896232470E-1,-4.077244997E-1,1.432112455E-1,6.474399567E-2,4.369674055E-1
6.945831700E-1,-3.667336702E-1,1.043432951E-1,6.481742859E-2,3.867588489E-1
6.995878660E-1,-3.647485375E-1,1.035820246E-1,6.488990784E-2,3.846835473E-1
7.045927890E-1,-3.628879786E-1,1.025267839E-1,2.001476288E-2,3.776241745E-1
7.096123720E-1,-3.599619269E-1,1.782320738E-1,2.016735077E-2,4.021765570E-1
7.146025250E-1,-3.571356535E-1,1.769102812E-1,2.031230927E-2,3.990685561E-1
7.196074480E-1,-4.687835276E-1,2.134070396E-1,3.351593018E-2,5.161626468E-1
7.246121690E-1,-4.654063880E-1,2.119636536E-1,3.367042542E-2,5.125089209E-1
7.296318610E-1,-5.753985643E-1,2.106325626E-1,3.376960754E-2,6.136692682E-1
7.345915530E-1,-5.704578757E-1,2.092497349E-1,3.388023376E-2,6.085684101E-1
7.395964570E-1,-6.044764519E-1,2.079596519E-1,4.702663422E-2,6.409762102E-1
7.446013800E-1,-6.002934575E-1,2.065933943E-1,4.715728760E-2,6.365978915E-1
7.496207930E-1,-5.171419978E-1,1.673116684E-1,4.723930359E-2,5.455828004E-1
7.546112550E-1,-4.347392917E-1,5.156695843E-2,2.713680267E-2,4.386271868E-1
7.595856390E-1,-4.293429852E-1,5.087590218E-2,2.713775635E-2,4.331976617E-1
7.645905580E-1,-3.099753857E-1,8.784437180E-2,2.721118927E-2,3.233292783E-1
7.696099420E-1,-3.049679101E-1,8.628404140E-2,2.736854553E-2,3.181185302E-1
7.746001400E-1,-3.761665821E-1,4.706990719E-2,2.356529236E-2,3.798318005E-1
7.796050630E-1,-3.704640269E-1,4.580831528E-2,2.366638184E-2,3.740348842E-1
7.846099860E-1,-4.051411748E-1,8.309137821E-2,2.371406555E-2,4.142534316E-1
7.895988270E-1,-4.759478569E-1,1.581040621E-1,2.395057678E-2,5.020925085E-1
7.945890580E-1,-4.689831436E-1,1.553506851E-1,2.880096436E-4,4.940436289E-1
7.995939810E-1,-5.388962030E-1,2.667933702E-1,7.467269897E-4,6.013221912E-1
8.045989040E-1,-5.319132209E-1,2.633469105E-1,1.211166382E-3,5.935357923E-1
8.096185200E-1,-5.251501799E-1,2.212854624E-1,1.856994629E-2,5.701708605E-1
8.146086580E-1,-5.182039142E-1,2.179512978E-1,1.902866364E-2,5.624945821E-1
8.195828890E-1,-5.113351345E-1,2.146373987E-1,1.949119568E-2,5.548988551E-1
8.245878120E-1,-5.800734162E-1,2.113548517E-1,1.994800568E-2,6.177005460E-1
8.296074330E-1,-5.730673671E-1,2.081779242E-1,3.839683533E-2,6.109161745E-1
8.345976640E-1,-4.902708530E-1,1.671622992E-1,3.883743286E-2,5.194392070E-1
8.396025870E-1,-4.835996628E-1,1.641106606E-1,3.928089142E-2,5.121952081E-1
8.446074230E-1,-4.769754410E-1,1.610560417E-1,3.973197937E-2,5.049982674E-1
8.496268840E-1,-4.703796804E-1,1.579738855E-1,3.719425201E-2,4.975903984E-1
8.545865770E-1,-5.013667345E-1,1.548018456E-1,3.767108917E-2,5.260715967E-1
8.595915000E-1,-4.176082611E-1,7.521069050E-2,3.806781769E-2,4.260310628E-1
8.645964230E-1,-4.109804928E-1,7.254934311E-2,3.847408295E-2,4.191045547E-1
8.696160580E-1,-2.903299034E-1,1.085257530E-1,2.695274353E-2,3.111201412E-1
8.746062120E-1,-2.840969861E-1,1.053884029E-1,2.745246887E-2,3.042555686E-1
8.796111350E-1,-2.779507935E-1,1.022666693E-1,2.795505524E-2,2.974837817E-1
8.845856060E-1,-2.679839134E-1,9.674596786E-2,2.885913849E-2,2.863704070E-1
8.896050670E-1,-2.657361329E-1,1.949763298E-2,3.082466125E-2,2.682275335E-1
8.945952210E-1,-2.546023726E-1,1.436245441E-2,3.167629242E-2,2.569669935E-1
8.996000530E-1,-2.862200737E-1,-1.398122311E-1,3.186225891E-2,3.201321510E-1
